form,lemma,pos,gender,number,wcase,person,comp,mood,tense
versus,versus,PrPRE,,,,,,,
via,via,PrPRE,,,,,,,
vis-a-vis,vis-a-vis,PrPRE,,,,,,,
vs,vs,PrPRE,,,,,,,
with,with,PrPRE,,,,,,,
with_a_view_to,with_a_view_to,PrPRE,,,,,,,
with_regard_to,with_regard_to,PrPRE,,,,,,,
with_respect_to,with_respect_to,PrPRE,,,,,,,
within,within,PrPRE,,,,,,,
without,without,PrPRE,,,,,,,
worth,worth,PrPRE,,,,,,,
to,to,PrTo,,,,,,,
