form,lemma,pos,gender,number,wcase,person,comp,mood,tense
thee,thee,PnPRS,,sng,,nd,,,
thou,thou,PnPRS,,sng,,nd,,,
ye,you,PnPRS,,plu,,nd,,,
you,you,PnPRS,,,,nd,,,
he,he,PnPRS,msc,sng,,rd,,,
him,he,PnPRS,msc,sng,,rd,,,
it,it,PnPRS,neu,sng,,rd,,,
her,she,PnPRS,fem,sng,,rd,,,
she,she,PnPRS,fem,sng,,rd,,,
them,they,PnPRS,,plu,,rd,,,
they,they,PnPRS,,plu,,rd,,,
i,i,PnPRS,,sng,,st,,,
me,i,PnPRS,,sng,,st,,,
us,us,PnPRS,,plu,,st,,,
we,we,PnPRS,,plu,,st,,,
