form,lemma,pos,gender,number,wcase,person,comp,mood,tense
who,who,PnINT,,,,,,,
whose,whose,PnINT,,,,,,,
whom,whom,PnINT,,,,,,,
what,what,PnINT,,,,,,,
which,which,PnINT,,,,,,,
