writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
where,where,interrogativeAdverb;relativeAdverb,,,,,,,
whence,whence,interrogativeAdverb;relativeAdverb,,,,,,,
whither,whither,interrogativeAdverb;relativeAdverb,,,,,,,
when,when,interrogativeAdverb;relativeAdverb,,,,,,,
how,how,interrogativeAdverb;relativeAdverb,,,,,,,
why,why,interrogativeAdverb;relativeAdverb,,,,,,,
wherefore,wherefore,interrogativeAdverb;relativeAdverb,,,,,,,
whether,whether,interrogativeAdverb;relativeAdverb,,,,,,,
