form,lemma,pos,gender,number,wcase,person,comp,mood,tense
am,be,Vb,,sng,,st,,ind,ps
's,be,Vb,,sng,,rd,,ind,ps
is,be,Vb,,sng,,rd,,ind,ps
're,be,Vb,,,,,,ind,ps
are,be,Vb,,,,,,ind,ps
'm,be,Vb,,sng,,st,,ind,ps
was,be,Vb,,sng,,,,ind,pt
were,be,Vb,,plu,,,,ind,pt
been,be,Vb,,,,,,par,pt
've,have,Vb,,,,,,ind,ps
