form,lemma,pos,gender,number,wcase,person,comp,mood,tense
this,this,PnDEM,,sng,,,,,
these,these,PnDEM,,plu,,,,,
that,that,PnDEM,,sng,,,,,
those,those,PnDEM,,plu,,,,,
former,former,PnDEM,,,,,,,
latter,latter,PnDEM,,,,,,,
other,other,PnDEM,,sng,,,,,
others,others,PnDEM,,plu,,,,,
same,same,PnDEM,,,,,,,
so,so,PnDEM,,,,,,,
such,such,PnDEM,,,,,,,
such-and-such,such-and-such,PnDEM,,,,,,,
suchlike,suchlike,PnDEM,,,,,,,
one,one,PnDEM,,sng,,,,,
ones,ones,PnDEM,,plu,,,,,
