derive,26.4,48.1.1,97.2
tattoo,25.1
snatch_away,10.5
breastfeed,39.7
waggle,49,40.3.2
cheat,10.6,59-1
jollify,31.1
charter,13.5.1
sour,45.4
laugh,40.2
metamorphose,26.6.1
fuse,22.3-1-1,22.1-1-1,45.4
nauseate,31.1
demast,10.8
distend,45.2
suggest,48.1.2,37.7-1-1
glint,43.1
commence,55.1-1
flog,10.5,18.3
favor,31.2
titter,40.2
befall,48.3
abolish,10.1
eliminate,10.1,42.1
ravish,31.1
patrol,35.2
resound,47.4
press,59,12-1-1
sort,29.10
rumple,45.2
rue,31.2
chaperone,29.8-1
atrophy,45.5
advise,37.7-1,37.2,58.1,37.9-1
armor,13.4.2-1-1
caramelize,45.4
kayak,51.4.1-1
run,47.7,18.4,26.3-1,47.5.1-1,11.4,51.3.2
intensify,45.4
iron,26.3-2,10.4.2
graffiti,9.9
rut,9.9
pick,39.2-1,13.5.1
retract,10.1
pinch,10.5,20-1
bridle,9.9
trust,29.5-1,31.2,13.4.1
truss,22.4
thirst,32.2-2,32.2-1
remain,47.1-1
congratulate,33
abound,47.5.1-2-1
insult,31.1,33
condone,33
wrest,10.5
entice,59,31.1
thicken,45.4
infuriate,31.1
publicize,45.4
thump,18.1,18.4-1,43.2,18.3
wither,45.5,47.2
thunk,43.2
care,31.3-2,31.3-3,88.1-1
proclaim,37.7-1,29.4-2,37.10,29.1
equalize,45.4
deplore,31.2
demand,60-1,103
mute,45.4
splotch,9.8
cloister,16,9.10
enthrall,31.1
spare,54.5
cart,11.5-1
collaborate,73-1,36.1,71
spark,27
vary,23.4,45.4,45.6-1
excommunicate,10.1
upgrade,29.1
lightning,57
cast,26.1,17.1,29.2
soothe,59,31.1
rub,10.4.1-1,9.7-1,40.3.2,20-1
shovel,10.4.2-1,9.3-2
spring up,48.1.1
cash,13.5.1-1
suction,10.4.1-1
carbonify,45.4
case,9.10
whitewash,9.9
thumb,35.5
extirpate,10.1,44
attempt,61
gallop,51.3.2
repulse,31.1
insure,99,85
assimilate,26.9,14-2-1
keep_down,42.3
irk,31.1
worsen,45.4
unfurl,45.2
shellac,24
pursue,51.6
squat_down,50
drill,21.2-2
capsize,45.4
corroborate,78,37.1.1
extort,10.5,58.1
chip,40.8.3-1-1,21.1-1,45.1,21.2-1
plague,31.1
chir,43.2
smuggle,10.5,11.1-1
counter,98
sever,23.1,10.1
derat,10.8
subtract,10.1,108-2
alarm,31.1
whittle,26.1
charge,92,13.4.2,54.5,51.3.2
penalize,33
disdain,31.2-1
stultify,33
flub,74-2,75-1-1
sprain,40.8.3-1-1
derind,10.8
cane,18.3
chug,43.2
originate,55.5-1
sag,47.6
imply,78
feather,9.9
jest,37.6
tote,11.4
draw,25.2,26.7-2-1,59,10.1,23.2,11.4,59-1
shimmer,43.1
blanch,40.8.4,45.3
rumba,51.5
spawn,27,28
camp,46
demagnetize,45.4
stock,15.2,9.7-2
drive,51.4.2,11.5
pink,43.2
pine,32.2-1
ping,43.2
sole,9.9
bombard,9.8,17.2
like,31.2-1,32.1-1-1
polarize,45.4
saturate,9.8
topple,45.4
sap,10.6
relieve,10.6,80-1,31.1
cabbage,10.5
growl,40.2,43.2,37.3,38
say,37.7-1,78-1
saw,23.2,21.1-1
ulcerate,45.4
toss,26.3-1,40.3.2,17.1-1-1
yearn,32.2-2,32.2-1
