writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
each_other,each_other,reciprocalPronoun,,,,,,,
one_another,one_another,reciprocalPronoun,,,,,,,
