DateTime,Price,Bid,Ask
20071001145458,737.7,0,786.7
20071001160336,737.7,0,0
20071008120827,737.7,715,0
20071008143815,737.7,716,0
20071008143937,737.7,717,0
20071008144729,737.7,720,0
20071009114730,737.7,722,0
20071010123752,737.7,724,0
20071012101817,737.7,726,0
20071012110149,737.7,724,0
20071012152104,737.7,730,0
20071012160402,737.7,724,0
20071015102420,737.7,730,0
20071015153444,737.7,740,0
20071015160338,740,730,0
20071016115733,740,735,0
20071017124821,740,738,0
20071017143444,740,740,0
20071019100012,740,742,0
20071019135206,740,740,0
20071022143246,740,738,0
20071029105756,740,760,0
20071029140426,740,761,0
20071031100555,761,755,0
20071031144243,761,760,0
20071101100103,761,761,0
20071101104351,761,761.1,0
20071101133209,761,761.2,0
20071101140948,761,762,0
20071101160342,762,761.2,0
20071102110547,762,761,0
20071106103320,762,765,0
20071107112258,765,785,0
20071107114412,765,788,0
20071108104415,788,765,0
20071113101120,788,761,0
20071116133017,788,766,0
20071116160428,788,761,0
20071121104319,788,771,0
20071121104411,788,772,0
20071122141321,788,780,0
20071128105907,788,772,0
20071129152152,788,778,0
20071129160342,788,772,0
20071203142151,788,761,0
20071203142201,788,0,0
20071205122530,788,760,0
20071205160411,788,0,0
20071206123307,788,755,0
20071207104512,788,760,0
20071212130701,788,765,0
20071213100538,788,768,0
20071213102652,788,771,0
20071213103532,788,772,0
20071213113310,788,773,0
20071217110013,788,771,0
20071221145450,788,780,0
20071221145506,788,781,0
20071221145712,788,782,0
20071221160816,788,771,0
