Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
SNP,2005-01-03,0.331,0.35,0.327,0.349,13230500
SNP,2005-01-04,0.346,0.359,0.346,0.358,13063000
SNP,2005-01-05,0.359,0.379,0.359,0.375,16879000
SNP,2005-01-06,0.379,0.394,0.379,0.388,10656000
SNP,2005-01-07,0.389,0.391,0.386,0.388,7918000
SNP,2005-01-10,0.388,0.389,0.375,0.377,16858000
SNP,2005-01-17,0.382,0.389,0.382,0.387,17943500
SNP,2005-01-18,0.389,0.41,0.389,0.41,31483000
SNP,2005-01-19,0.415,0.425,0.41,0.423,18073500
SNP,2005-01-20,0.422,0.424,0.397,0.399,29896500
SNP,2005-01-21,0.398,0.421,0.386,0.417,40289500
SNP,2005-01-24,0.417,0.45,0.416,0.45,16269000
SNP,2005-01-25,0.449,0.454,0.432,0.443,14894500
SNP,2005-01-26,0.44,0.44,0.423,0.423,4502500
SNP,2005-01-27,0.422,0.422,0.407,0.415,7610000
SNP,2005-01-28,0.42,0.428,0.416,0.419,3102500
SNP,2005-01-31,0.419,0.42,0.415,0.415,2906000
SNP,2005-02-01,0.416,0.42,0.414,0.42,2894000
SNP,2005-02-02,0.42,0.43,0.42,0.424,3714500
SNP,2005-02-03,0.424,0.426,0.422,0.426,7099000
SNP,2005-02-04,0.424,0.43,0.418,0.428,8913000
SNP,2005-02-07,0.421,0.421,0.417,0.418,3397000
SNP,2005-02-08,0.417,0.417,0.398,0.398,7888000
SNP,2005-02-09,0.38,0.399,0.37,0.395,11319500
SNP,2005-02-10,0.402,0.418,0.402,0.418,4223000
SNP,2005-02-11,0.412,0.426,0.412,0.42,13150000
SNP,2005-02-14,0.416,0.44,0.416,0.44,16561500
SNP,2005-02-15,0.434,0.441,0.434,0.44,6388000
SNP,2005-02-16,0.438,0.45,0.438,0.45,7759500
SNP,2005-02-17,0.445,0.452,0.442,0.45,7272000
SNP,2005-02-18,0.447,0.451,0.446,0.45,1627500
SNP,2005-02-21,0.447,0.461,0.447,0.46,5352500
SNP,2005-02-22,0.461,0.48,0.461,0.479,2952500
SNP,2005-02-23,0.471,0.525,0.471,0.525,8608500
SNP,2005-02-24,0.515,0.53,0.5,0.51,5354000
SNP,2005-02-25,0.49,0.51,0.49,0.5,3285000
SNP,2005-02-28,0.492,0.505,0.485,0.49,2528500
SNP,2005-03-01,0.482,0.5,0.481,0.493,1756500
SNP,2005-03-07,0.482,0.483,0.46,0.465,5096000
SNP,2005-03-08,0.45,0.469,0.44,0.453,2573500
SNP,2005-03-09,0.445,0.46,0.436,0.454,4459500
SNP,2005-03-10,0.46,0.487,0.46,0.48,7426500
SNP,2005-03-11,0.48,0.485,0.473,0.473,3490000
SNP,2005-03-14,0.47,0.475,0.467,0.47,2722500
SNP,2005-03-15,0.46,0.461,0.45,0.45,4261000
SNP,2005-03-16,0.44,0.448,0.425,0.425,3850000
SNP,2005-03-17,0.42,0.42,0.39,0.39,7203000
SNP,2005-03-18,0.38,0.38,0.36,0.378,7804500
SNP,2005-03-21,0.398,0.404,0.373,0.373,4656500
SNP,2005-03-22,0.365,0.375,0.36,0.366,1059500
SNP,2005-03-23,0.367,0.373,0.361,0.368,1148500
SNP,2005-03-24,0.365,0.368,0.359,0.36,5606500
SNP,2005-03-25,0.353,0.355,0.341,0.345,2932000
SNP,2005-03-28,0.335,0.335,0.303,0.306,2790000
SNP,2005-03-29,0.276,0.338,0.276,0.326,10512500
SNP,2005-03-30,0.331,0.349,0.325,0.338,12323000
SNP,2005-03-31,0.345,0.36,0.341,0.351,3616500
SNP,2005-04-01,0.356,0.38,0.356,0.36,6607500
SNP,2005-04-04,0.362,0.379,0.36,0.362,2715000
SNP,2005-04-05,0.363,0.363,0.346,0.36,4513000
SNP,2005-04-07,0.369,0.369,0.345,0.35,3043500
SNP,2005-04-08,0.342,0.358,0.336,0.35,4391000
SNP,2005-04-11,0.345,0.355,0.345,0.355,896500
SNP,2005-04-12,0.352,0.363,0.351,0.363,1646500
SNP,2005-04-13,0.368,0.37,0.363,0.37,5585500
SNP,2005-04-14,0.37,0.372,0.362,0.367,3134000
SNP,2005-04-15,0.36,0.36,0.347,0.356,1892500
SNP,2005-04-18,0.349,0.349,0.335,0.344,1663000
SNP,2005-04-19,0.342,0.347,0.335,0.34,1544000
SNP,2005-04-20,0.332,0.339,0.322,0.329,2412000
SNP,2005-04-21,0.322,0.335,0.322,0.334,983500
SNP,2005-04-22,0.335,0.335,0.324,0.324,4719000
SNP,2005-04-25,0.326,0.326,0.305,0.306,2622000
SNP,2005-04-26,0.305,0.324,0.305,0.318,2499000
SNP,2005-04-27,0.318,0.322,0.314,0.314,560000
SNP,2005-04-28,0.312,0.318,0.311,0.316,940500
SNP,2005-04-29,0.315,0.32,0.315,0.315,1671500
SNP,2005-05-03,0.316,0.333,0.316,0.332,1813000
SNP,2005-05-04,0.34,0.346,0.335,0.34,1731500
SNP,2005-05-09,0.324,0.335,0.322,0.329,4984500
SNP,2005-05-10,0.328,0.33,0.32,0.325,2740000
SNP,2005-05-11,0.325,0.325,0.317,0.324,1030000
SNP,2005-05-12,0.32,0.32,0.315,0.318,693500
SNP,2005-05-13,0.315,0.323,0.312,0.323,1284000
SNP,2005-05-16,0.322,0.329,0.322,0.325,1872000
SNP,2005-05-17,0.324,0.329,0.323,0.329,1384000
SNP,2005-05-18,0.325,0.328,0.325,0.326,880500
SNP,2005-05-19,0.327,0.342,0.327,0.342,1911000
SNP,2005-05-20,0.347,0.359,0.342,0.354,10112000
SNP,2005-05-23,0.355,0.357,0.349,0.354,3343000
SNP,2005-05-27,0.362,0.362,0.344,0.36,8680000
SNP,2005-05-30,0.353,0.355,0.332,0.332,1584000
SNP,2005-05-31,0.331,0.355,0.331,0.35,1438000
SNP,2005-06-01,0.349,0.366,0.349,0.365,3694000
SNP,2005-06-02,0.362,0.368,0.358,0.368,2609000
SNP,2005-06-03,0.363,0.373,0.363,0.367,2837500
SNP,2005-06-06,0.36,0.364,0.358,0.359,2434500
SNP,2005-06-07,0.359,0.369,0.359,0.369,3090500
SNP,2005-06-08,0.367,0.39,0.367,0.39,3129000
SNP,2005-06-09,0.39,0.42,0.387,0.406,12364500
SNP,2005-06-10,0.403,0.41,0.397,0.399,2117500
SNP,2005-06-13,0.394,0.409,0.394,0.399,2544000
SNP,2005-06-14,0.398,0.403,0.398,0.402,783000
SNP,2005-06-15,0.4,0.403,0.399,0.399,1069000
SNP,2005-06-16,0.397,0.41,0.397,0.406,1722500
SNP,2005-06-17,0.405,0.41,0.403,0.406,1608500
SNP,2005-06-20,0.405,0.408,0.403,0.404,1406000
SNP,2005-06-21,0.403,0.404,0.4,0.403,2189500
SNP,2005-06-22,0.4,0.401,0.397,0.397,2947000
SNP,2005-06-23,0.395,0.403,0.395,0.403,1617500
SNP,2005-06-24,0.4,0.406,0.4,0.403,3471000
SNP,2005-07-04,0.4,0.41,0.4,0.41,5817000
SNP,2005-07-05,0.412,0.419,0.412,0.415,2487000
SNP,2005-07-06,0.415,0.424,0.415,0.422,4122000
SNP,2005-07-07,0.423,0.44,0.422,0.432,8158000
SNP,2005-07-08,0.42,0.433,0.416,0.43,8897500
SNP,2005-07-11,0.43,0.45,0.43,0.45,13610000
SNP,2005-07-12,0.45,0.47,0.45,0.465,5666500
SNP,2005-07-13,0.465,0.47,0.456,0.469,6817000
SNP,2005-07-14,0.461,0.47,0.46,0.467,4828000
SNP,2005-07-15,0.465,0.467,0.462,0.462,937500
SNP,2005-07-18,0.462,0.463,0.457,0.457,1130500
SNP,2005-07-19,0.454,0.473,0.452,0.47,28551000
SNP,2005-07-20,0.467,0.486,0.467,0.484,4244000
SNP,2005-07-21,0.485,0.49,0.48,0.48,2140500
SNP,2005-07-22,0.48,0.48,0.471,0.473,2218500
SNP,2005-07-25,0.473,0.474,0.465,0.47,724000
SNP,2005-07-26,0.463,0.47,0.46,0.461,1884000
SNP,2005-07-27,0.462,0.468,0.461,0.468,12564000
SNP,2005-07-28,0.466,0.469,0.464,0.465,742000
SNP,2005-07-29,0.462,0.471,0.461,0.47,2379000
SNP,2005-08-01,0.469,0.475,0.469,0.472,1091000
SNP,2005-08-02,0.47,0.476,0.47,0.476,5282000
SNP,2005-08-03,0.48,0.491,0.48,0.49,4874500
SNP,2005-08-04,0.49,0.5,0.49,0.494,3162000
SNP,2005-08-05,0.491,0.499,0.485,0.493,2043500
SNP,2005-08-08,0.485,0.491,0.477,0.48,1118000
SNP,2005-08-09,0.478,0.49,0.456,0.479,2932500
SNP,2005-08-10,0.477,0.481,0.47,0.479,2001000
SNP,2005-08-11,0.469,0.481,0.469,0.473,1305500
SNP,2005-08-12,0.472,0.478,0.472,0.473,791000
SNP,2005-08-15,0.476,0.484,0.475,0.475,2735500
SNP,2005-08-16,0.475,0.478,0.464,0.465,4539500
SNP,2005-08-17,0.465,0.469,0.454,0.46,4511000
SNP,2005-08-18,0.451,0.465,0.449,0.45,6971500
SNP,2005-08-19,0.448,0.455,0.445,0.445,4478000
SNP,2005-08-22,0.444,0.449,0.441,0.444,4119500
SNP,2005-08-23,0.447,0.457,0.445,0.45,21684500
SNP,2005-08-24,0.453,0.458,0.443,0.445,10096500
SNP,2005-08-25,0.448,0.449,0.443,0.447,1405500
SNP,2005-08-26,0.443,0.448,0.443,0.443,3425500
SNP,2005-08-29,0.441,0.449,0.436,0.448,5094500
SNP,2005-08-30,0.444,0.457,0.444,0.453,2921000
SNP,2005-08-31,0.454,0.461,0.453,0.46,19716500
SNP,2005-09-01,0.456,0.469,0.456,0.466,12396000
SNP,2005-09-02,0.469,0.476,0.469,0.471,6870000
SNP,2005-09-05,0.473,0.475,0.46,0.461,2512500
SNP,2005-09-06,0.46,0.472,0.459,0.471,3899000
SNP,2005-09-07,0.465,0.475,0.465,0.471,2419000
SNP,2005-09-08,0.47,0.475,0.469,0.471,1984500
SNP,2005-09-09,0.469,0.476,0.468,0.469,2997500
SNP,2005-09-12,0.47,0.475,0.468,0.475,6403000
SNP,2005-09-13,0.473,0.477,0.472,0.474,6078500
SNP,2005-09-14,0.475,0.478,0.466,0.471,7332500
SNP,2005-09-15,0.47,0.473,0.468,0.47,5488000
SNP,2005-09-16,0.468,0.472,0.463,0.471,5422000
SNP,2005-09-19,0.469,0.473,0.466,0.473,1455500
SNP,2005-09-20,0.471,0.48,0.471,0.478,17652500
SNP,2005-09-21,0.479,0.48,0.467,0.467,10370000
