Symbol,Date,Time,Price,Volume,OpenInterest
DESIF2-IUN08,2007-07-02,16:01:56,4.1,0,0
DESIF2-IUN08,2007-07-03,16:18:44,4.105,0,0
DESIF2-IUN08,2007-07-04,16:09:42,4.2075,0,0
DESIF2-IUN08,2007-07-27,11:16:29,4.165,1,2
DESIF2-IUN08,2007-07-30,11:41:48,4.11,1,4
DESIF2-IUN08,2007-08-06,11:27:22,4.05,3,10
DESIF2-IUN08,2007-08-06,12:53:44,4.05,7,24
DESIF2-IUN08,2007-08-06,13:13:41,4.07,1,26
DESIF2-IUN08,2007-08-06,13:16:59,4.07,13,52
DESIF2-IUN08,2007-08-06,14:25:36,4.1,20,92
DESIF2-IUN08,2007-08-06,15:48:05,4.1,21,132
DESIF2-IUN08,2007-08-10,11:55:59,4.3,1,132
DESIF2-IUN08,2007-08-10,12:15:49,4.1,1,134
DESIF2-IUN08,2007-08-10,12:19:52,4.3,1,134
DESIF2-IUN08,2007-08-13,14:16:51,4.5,2,134
DESIF2-IUN08,2007-08-15,13:58:43,4.05,1,136
DESIF2-IUN08,2007-08-15,14:45:00,4.3,1,138
DESIF2-IUN08,2007-08-16,13:38:41,4,1,138
DESIF2-IUN08,2007-08-16,14:26:00,4.3,1,138
DESIF2-IUN08,2007-08-16,15:16:56,4,1,140
DESIF2-IUN08,2007-08-17,13:07:50,4,1,142
DESIF2-IUN08,2007-08-17,15:02:38,4,1,144
DESIF2-IUN08,2007-08-17,15:05:44,4,1,146
DESIF2-IUN08,2007-08-27,13:33:02,4.1999,2,146
DESIF2-IUN08,2007-08-28,13:30:53,4.1999,3,146
DESIF2-IUN08,2007-08-30,11:28:26,3.9,11,164
DESIF2-IUN08,2007-08-30,11:29:08,3.88,15,194
DESIF2-IUN08,2007-08-30,11:29:16,3.88,20,234
DESIF2-IUN08,2007-08-30,11:29:27,3.88,1,236
DESIF2-IUN08,2007-08-30,11:30:12,3.88,3,242
DESIF2-IUN08,2007-08-30,11:30:34,3.88,10,262
DESIF2-IUN08,2007-08-30,11:30:43,3.88,5,272
DESIF2-IUN08,2007-08-30,11:31:27,3.88,1,274
DESIF2-IUN08,2007-08-30,11:36:44,4,1,274
DESIF2-IUN08,2007-08-30,11:36:53,4,20,274
DESIF2-IUN08,2007-08-30,11:36:59,4,3,274
DESIF2-IUN08,2007-08-30,11:37:01,4,1,274
DESIF2-IUN08,2007-08-30,11:38:47,4,5,274
DESIF2-IUN08,2007-08-30,11:43:48,4,8,274
DESIF2-IUN08,2007-08-30,11:44:09,4,2,274
DESIF2-IUN08,2007-08-30,11:48:51,4,4,274
DESIF2-IUN08,2007-08-30,12:22:30,4.0001,1,274
DESIF2-IUN08,2007-08-30,13:06:49,4,10,274
DESIF2-IUN08,2007-09-06,10:32:16,4.15,1,274
DESIF2-IUN08,2007-09-10,10:12:31,4.1,1,274
DESIF2-IUN08,2007-09-10,13:36:23,4.05,1,276
DESIF2-IUN08,2007-09-10,15:46:39,4.05,1,276
DESIF2-IUN08,2007-09-11,11:53:24,4.1,1,276
DESIF2-IUN08,2007-09-11,12:04:33,4.01,41,358
DESIF2-IUN08,2007-09-11,12:05:45,4.1,9,376
DESIF2-IUN08,2007-09-11,14:26:36,4.04,1,378
DESIF2-IUN08,2007-09-12,10:05:43,4.18,10,378
DESIF2-IUN08,2007-09-12,14:55:16,3.96,1,378
DESIF2-IUN08,2007-09-12,15:25:32,4.02,1,378
DESIF2-IUN08,2007-09-13,10:04:15,4.179,10,378
DESIF2-IUN08,2007-09-18,10:31:32,3.95,2,378
DESIF2-IUN08,2007-09-18,10:38:29,3.89,30,378
DESIF2-IUN08,2007-09-18,10:38:34,3.89,36,338
DESIF2-IUN08,2007-09-18,12:39:22,3.9,1,340
DESIF2-IUN08,2007-09-18,12:42:02,3.9,2,344
DESIF2-IUN08,2007-09-18,12:42:14,3.9,1,346
DESIF2-IUN08,2007-09-18,13:06:22,3.94,1,346
DESIF2-IUN08,2007-09-18,15:43:16,4.15,1,348
DESIF2-IUN08,2007-09-18,15:59:04,3.85,1,350
DESIF2-IUN08,2007-09-19,13:27:13,3.905,21,358
DESIF2-IUN08,2007-09-19,13:27:51,3.905,4,366
DESIF2-IUN08,2007-09-19,13:32:57,3.95,1,366
DESIF2-IUN08,2007-09-20,10:48:22,3.9,3,366
DESIF2-IUN08,2007-09-20,11:21:36,3.95,1,364
DESIF2-IUN08,2007-09-20,13:22:46,3.92,1,364
